movieId,title,genres,imdbId,user rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,4.0
2,Jumanji (1995),Adventure|Children|Fantasy,113497,3.0
3,Grumpier Old Men (1995),Comedy|Romance,113228,3.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,3.0
5,Father of the Bride Part II (1995),Comedy,113041,3.0
6,Heat (1995),Action|Crime|Thriller,113277,4.0
7,Sabrina (1995),Comedy|Romance,114319,3.0
8,Tom and Huck (1995),Adventure|Children,112302,4.0
9,Sudden Death (1995),Action,114576,3.0
10,GoldenEye (1995),Action|Adventure|Thriller,113189,3.5
11,"American President, The (1995)",Comedy|Drama|Romance,112346,4.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,3.0
13,Balto (1995),Adventure|Animation|Children,112453,3.25
14,Nixon (1995),Drama,113987,4.0
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,3.0
16,Casino (1995),Crime|Drama,112641,4.0
17,Sense and Sensibility (1995),Drama|Romance,114388,4.0
18,Four Rooms (1995),Comedy,113101,4.0
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,3.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,3.0
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,3.5
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,3.25
23,Assassins (1995),Action|Crime|Thriller,112401,3.0
24,Powder (1995),Drama|Sci-Fi,114168,3.0
25,Leaving Las Vegas (1995),Drama|Romance,113627,4.0
26,Othello (1995),Drama,114057,4.0
27,Now and Then (1995),Children|Drama,114011,3.0
28,Persuasion (1995),Drama|Romance,114117,3.5
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,4.5
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,3.5
31,Dangerous Minds (1995),Drama,112792,3.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,4.0
33,Wings of Courage (1995),Adventure|Romance|IMAX,114952,2.5
